iter	Passed	Remaining
0	149	149173
1	153	76794
2	158	52570
3	162	40423
4	166	33226
5	171	28379
6	175	24914
7	178	22158
8	181	19990
9	183	18177
10	185	16691
11	187	15450
12	189	14369
13	190	13447
14	192	12653
15	194	11945
16	195	11298
17	196	10729
18	197	10216
19	199	9761
20	200	9343
21	201	8960
22	202	8611
23	204	8296
24	205	8001
25	206	7729
26	207	7472
27	208	7234
28	209	7012
29	210	6804
30	211	6611
31	212	6426
32	213	6252
33	214	6091
34	215	5940
35	216	5794
36	217	5656
37	218	5525
38	219	5400
39	220	5287
40	221	5174
41	222	5072
42	223	4971
43	224	4875
44	225	4782
45	226	4692
46	227	4607
47	228	4526
48	229	4447
49	230	4371
50	230	4297
51	231	4227
52	232	4158
53	233	4094
54	234	4037
55	236	3982
56	237	3929
57	238	3877
58	239	3824
59	241	3776
60	242	3727
61	243	3682
62	244	3635
63	245	3588
64	246	3543
65	247	3499
66	248	3455
67	248	3410
68	250	3377
69	251	3342
70	252	3308
71	254	3274
72	255	3239
73	256	3204
74	256	3168
75	257	3133
76	258	3099
77	259	3065
78	260	3033
79	261	3001
80	261	2970
81	262	2940
82	263	2913
83	264	2885
84	265	2856
85	266	2830
86	267	2802
87	268	2779
88	269	2754
89	270	2731
90	271	2707
91	271	2683
92	272	2659
93	273	2636
94	274	2613
95	275	2591
96	275	2568
97	276	2547
98	277	2526
99	278	2506
100	279	2488
101	280	2466
102	281	2448
103	282	2430
104	283	2412
105	283	2394
106	284	2376
107	285	2360
108	286	2343
109	287	2325
110	288	2308
111	289	2292
112	289	2275
113	290	2258
114	291	2242
115	292	2225
116	293	2211
117	294	2197
118	294	2183
119	295	2169
120	296	2156
121	297	2143
122	298	2127
123	299	2114
124	300	2102
125	301	2088
126	301	2075
127	302	2060
128	303	2047
129	304	2034
130	304	2022
131	305	2009
132	306	1997
133	307	1986
134	308	1975
135	309	1964
136	310	1954
137	311	1943
138	312	1933
139	313	1923
140	314	1913
141	315	1904
142	315	1893
143	316	1883
144	317	1873
145	318	1862
146	319	1852
147	320	1842
148	320	1832
149	321	1822
150	322	1814
151	323	1805
152	324	1798
153	325	1789
154	326	1781
155	327	1773
156	328	1765
157	329	1757
158	330	1748
159	331	1739
160	332	1731
161	332	1722
162	333	1714
163	334	1705
164	335	1697
165	336	1689
166	337	1681
167	337	1673
168	338	1666
169	339	1659
170	341	1653
171	342	1647
172	343	1639
173	343	1632
174	344	1625
175	345	1618
176	346	1611
177	347	1604
178	348	1597
179	348	1589
180	349	1581
181	350	1574
182	351	1567
183	352	1561
184	353	1555
185	354	1549
186	355	1543
187	356	1537
188	356	1531
189	357	1525
190	359	1520
191	359	1514
192	360	1507
193	361	1501
194	362	1495
195	363	1489
196	363	1483
197	364	1477
198	365	1471
199	366	1466
200	367	1462
201	369	1458
202	370	1454
203	371	1450
204	372	1446
205	374	1442
206	375	1437
207	376	1432
208	376	1426
209	377	1420
210	378	1415
211	379	1410
212	380	1404
213	381	1399
214	381	1394
215	383	1390
216	384	1385
217	385	1381
218	386	1378
219	387	1373
220	388	1368
221	389	1363
222	389	1358
223	390	1353
224	391	1348
225	392	1343
226	393	1338
227	393	1333
228	394	1328
229	395	1324
230	396	1319
231	397	1315
232	398	1312
233	399	1308
234	401	1305
235	402	1301
236	402	1296
237	403	1292
238	404	1288
239	405	1283
240	406	1279
241	407	1274
242	407	1270
243	408	1266
244	409	1261
245	410	1257
246	411	1254
247	412	1250
248	413	1246
249	414	1243
250	415	1239
251	416	1235
252	417	1231
253	418	1227
254	418	1223
255	419	1219
256	420	1215
257	421	1211
258	422	1208
259	423	1204
260	424	1200
261	424	1196
262	425	1193
263	426	1189
264	427	1186
265	428	1183
266	429	1180
267	430	1176
268	431	1173
269	432	1169
270	433	1166
271	434	1162
272	435	1159
273	436	1155
274	436	1151
275	437	1148
276	438	1144
277	439	1140
278	440	1137
279	441	1135
280	442	1132
281	443	1129
282	444	1126
283	445	1123
284	446	1120
285	447	1117
286	448	1114
287	449	1110
288	450	1107
289	450	1104
290	451	1100
291	452	1097
292	453	1094
293	454	1091
294	455	1087
295	456	1085
296	457	1082
297	458	1079
298	459	1077
299	460	1074
300	461	1071
301	462	1068
302	463	1065
303	463	1061
304	464	1058
305	465	1055
306	466	1052
307	467	1049
308	467	1046
309	468	1043
310	469	1040
